word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
glummble,W1,claude-sonnet-4-6,0.0,object_collecting,9,30,0.300,0.167,0.479
glummble,W1,claude-sonnet-4-6,0.0,mood_color,7,30,0.233,0.118,0.409
glummble,W1,claude-sonnet-4-6,0.0,waddle_gait,27,30,0.900,0.744,0.965
glummble,W1,claude-sonnet-4-6,0.0,shy_gentle,23,30,0.767,0.591,0.882
glummble,W1,claude-sonnet-4-6,0.0,curious,1,30,0.033,0.006,0.167
glummble,W1,claude-sonnet-4-6,0.0,name_from_sound,2,30,0.067,0.018,0.213
glummble,W1,claude-sonnet-4-6,1.0,round_body,50,50,1.000,0.929,1.000
glummble,W1,claude-sonnet-4-6,1.0,soft_texture,50,50,1.000,0.929,1.000
glummble,W1,claude-sonnet-4-6,1.0,lavender_purple,29,50,0.580,0.442,0.706
glummble,W1,claude-sonnet-4-6,1.0,six_legs,14,50,0.280,0.175,0.417
glummble,W1,claude-sonnet-4-6,1.0,humming_vocal,45,50,0.900,0.786,0.957
glummble,W1,claude-sonnet-4-6,1.0,bioluminescence,6,50,0.120,0.056,0.238
glummble,W1,claude-sonnet-4-6,1.0,large_eyes,35,50,0.700,0.562,0.809
glummble,W1,claude-sonnet-4-6,1.0,spiral_tail,24,50,0.480,0.348,0.615
glummble,W1,claude-sonnet-4-6,1.0,object_collecting,18,50,0.360,0.241,0.499
glummble,W1,claude-sonnet-4-6,1.0,mood_color,8,50,0.160,0.083,0.285
glummble,W1,claude-sonnet-4-6,1.0,waddle_gait,32,50,0.640,0.501,0.759
glummble,W1,claude-sonnet-4-6,1.0,shy_gentle,32,50,0.640,0.501,0.759
glummble,W1,claude-sonnet-4-6,1.0,curious,8,50,0.160,0.083,0.285
glummble,W1,claude-sonnet-4-6,1.0,name_from_sound,8,50,0.160,0.083,0.285
glummble,W1,gpt-5.4-mini,0.0,round_body,30,30,1.000,0.886,1.000
glummble,W1,gpt-5.4-mini,0.0,soft_texture,30,30,1.000,0.886,1.000
glummble,W1,gpt-5.4-mini,0.0,lavender_purple,13,30,0.433,0.274,0.608
glummble,W1,gpt-5.4-mini,0.0,six_legs,3,30,0.100,0.035,0.256
glummble,W1,gpt-5.4-mini,0.0,humming_vocal,20,30,0.667,0.488,0.808
glummble,W1,gpt-5.4-mini,0.0,bioluminescence,11,30,0.367,0.219,0.545
glummble,W1,gpt-5.4-mini,0.0,large_eyes,21,30,0.700,0.521,0.833
glummble,W1,gpt-5.4-mini,0.0,spiral_tail,11,30,0.367,0.219,0.545
